STATE_NAME;ISO Code
Albania;ALB
Armenia;ARM
Austria;AUT
Belgium;BEL
Bosnia and Herzegovina;BIH
Bulgaria;BGR
Croatia;HRV
Cyprus;CYP
Czech Republic;CZE
Denmark;DNK
Estonia;EST
Finland;FIN
France;FRA
Georgia;GEO
Germany;DEU
Greece;GRC
Hungary;HUN
Ireland;IRL
Israel;ISR
Italy;ITA
Latvia;LVA
Lithuania;LTU
Luxembourg;LUX
Malta;MLT
Moldova;MDA
Montenegro;MNE
Morocco;MAR
Netherlands;NLD
Norway;NOR
Poland;POL
Portugal;PRT
Republic of North Macedonia;MKD
Romania;ROU
Serbia;SRB
Slovakia;SVK
Slovenia;SVN
Spain;ESP
Sweden;SWE
Switzerland;CHE
Turkey;TUR
Ukraine;UKR
United Kingdom;GBR